agent	faction	subtype
general	troy_main_dan_aethaleia	troy_defender_tank
general	troy_main_dan_aethaleia	troy_fighter_balanced
general	troy_main_dan_aethaleia	troy_fighter_disruptor
general	troy_main_dan_aethaleia	troy_fighter_killer
general	troy_main_dan_aethaleia	troy_warlord_tactician
general	troy_main_dan_aethaleia	troy_warlord_utility
general	troy_main_dan_aethaleia	troy_warlord_warmonger
minister	troy_main_dan_aethaleia	default
runesmith	troy_main_dan_aethaleia	default
spy	troy_main_dan_aethaleia	troy_agent_spy
wizard	troy_main_dan_aethaleia	default
champion	troy_main_dan_aetolians	troy_agent_priest
colonel	troy_main_dan_aetolians	troy_defender_aggro
colonel	troy_main_dan_aetolians	troy_fighter_balanced
colonel	troy_main_dan_aetolians	troy_fighter_disruptor
colonel	troy_main_dan_aetolians	troy_fighter_killer
dignitary	troy_main_dan_aetolians	troy_agent_envoy
engineer	troy_main_dan_aetolians	troy_agent_gorgon
engineer	troy_main_dan_aetolians	troy_agent_satyr
engineer	troy_main_dan_aetolians	troy_agent_seer
general	troy_main_dan_aetolians	troy_archer_skirmisher
general	troy_main_dan_aetolians	troy_archer_trickster
general	troy_main_dan_aetolians	troy_defender_aggro
general	troy_main_dan_aetolians	troy_defender_quick
general	troy_main_dan_aetolians	troy_defender_tank
general	troy_main_dan_aetolians	troy_fighter_balanced
general	troy_main_dan_aetolians	troy_fighter_disruptor
general	troy_main_dan_aetolians	troy_fighter_killer
general	troy_main_dan_aetolians	troy_warlord_tactician
general	troy_main_dan_aetolians	troy_warlord_utility
general	troy_main_dan_aetolians	troy_warlord_warmonger
minister	troy_main_dan_aetolians	default
runesmith	troy_main_dan_aetolians	default
spy	troy_main_dan_aetolians	troy_agent_spy
wizard	troy_main_dan_aetolians	default
champion	troy_main_dan_anemoessa	troy_agent_priest
colonel	troy_main_dan_anemoessa	troy_defender_aggro
colonel	troy_main_dan_anemoessa	troy_fighter_balanced
colonel	troy_main_dan_anemoessa	troy_fighter_disruptor
colonel	troy_main_dan_anemoessa	troy_fighter_killer
dignitary	troy_main_dan_anemoessa	troy_agent_envoy
engineer	troy_main_dan_anemoessa	troy_agent_gorgon
engineer	troy_main_dan_anemoessa	troy_agent_satyr
engineer	troy_main_dan_anemoessa	troy_agent_seer
general	troy_main_dan_anemoessa	troy_archer_skirmisher
general	troy_main_dan_anemoessa	troy_archer_trickster
general	troy_main_dan_anemoessa	troy_defender_aggro
general	troy_main_dan_anemoessa	troy_defender_quick
general	troy_main_dan_anemoessa	troy_defender_tank
general	troy_main_dan_anemoessa	troy_fighter_balanced
general	troy_main_dan_anemoessa	troy_fighter_disruptor
general	troy_main_dan_anemoessa	troy_fighter_killer
general	troy_main_dan_anemoessa	troy_warlord_tactician
general	troy_main_dan_anemoessa	troy_warlord_utility
general	troy_main_dan_anemoessa	troy_warlord_warmonger
minister	troy_main_dan_anemoessa	default
runesmith	troy_main_dan_anemoessa	default
spy	troy_main_dan_anemoessa	troy_agent_spy
wizard	troy_main_dan_anemoessa	default
champion	troy_main_dan_antheada	troy_agent_priest
colonel	troy_main_dan_antheada	troy_defender_aggro
colonel	troy_main_dan_antheada	troy_fighter_balanced
colonel	troy_main_dan_antheada	troy_fighter_disruptor
colonel	troy_main_dan_antheada	troy_fighter_killer
dignitary	troy_main_dan_antheada	troy_agent_envoy
engineer	troy_main_dan_antheada	troy_agent_gorgon
engineer	troy_main_dan_antheada	troy_agent_satyr
engineer	troy_main_dan_antheada	troy_agent_seer
general	troy_main_dan_antheada	troy_archer_skirmisher
general	troy_main_dan_antheada	troy_archer_trickster
general	troy_main_dan_antheada	troy_defender_aggro
general	troy_main_dan_antheada	troy_defender_quick
general	troy_main_dan_antheada	troy_defender_tank
general	troy_main_dan_antheada	troy_fighter_balanced
general	troy_main_dan_antheada	troy_fighter_disruptor
general	troy_main_dan_antheada	troy_fighter_killer
general	troy_main_dan_antheada	troy_warlord_tactician
general	troy_main_dan_antheada	troy_warlord_utility
general	troy_main_dan_antheada	troy_warlord_warmonger
minister	troy_main_dan_antheada	default
runesmith	troy_main_dan_antheada	default
spy	troy_main_dan_antheada	troy_agent_spy
wizard	troy_main_dan_antheada	default
champion	troy_main_dan_apaesos	troy_agent_priest
colonel	troy_main_dan_apaesos	troy_defender_aggro
colonel	troy_main_dan_apaesos	troy_fighter_balanced
colonel	troy_main_dan_apaesos	troy_fighter_disruptor
colonel	troy_main_dan_apaesos	troy_fighter_killer
dignitary	troy_main_dan_apaesos	troy_agent_envoy
engineer	troy_main_dan_apaesos	troy_agent_gorgon
engineer	troy_main_dan_apaesos	troy_agent_satyr
engineer	troy_main_dan_apaesos	troy_agent_seer
general	troy_main_dan_apaesos	troy_archer_skirmisher
general	troy_main_dan_apaesos	troy_archer_trickster
general	troy_main_dan_apaesos	troy_defender_aggro
general	troy_main_dan_apaesos	troy_defender_quick
general	troy_main_dan_apaesos	troy_defender_tank
general	troy_main_dan_apaesos	troy_fighter_balanced
general	troy_main_dan_apaesos	troy_fighter_disruptor
general	troy_main_dan_apaesos	troy_fighter_killer
general	troy_main_dan_apaesos	troy_warlord_tactician
general	troy_main_dan_apaesos	troy_warlord_utility
general	troy_main_dan_apaesos	troy_warlord_warmonger
minister	troy_main_dan_apaesos	default
runesmith	troy_main_dan_apaesos	default
spy	troy_main_dan_apaesos	troy_agent_spy
wizard	troy_main_dan_apaesos	default
champion	troy_main_dan_apteron	troy_agent_priest
colonel	troy_main_dan_apteron	troy_defender_aggro
colonel	troy_main_dan_apteron	troy_fighter_balanced
colonel	troy_main_dan_apteron	troy_fighter_disruptor
colonel	troy_main_dan_apteron	troy_fighter_killer
dignitary	troy_main_dan_apteron	troy_agent_envoy
engineer	troy_main_dan_apteron	troy_agent_gorgon
engineer	troy_main_dan_apteron	troy_agent_satyr
engineer	troy_main_dan_apteron	troy_agent_seer
general	troy_main_dan_apteron	troy_archer_skirmisher
general	troy_main_dan_apteron	troy_archer_trickster
general	troy_main_dan_apteron	troy_defender_aggro
general	troy_main_dan_apteron	troy_defender_quick
general	troy_main_dan_apteron	troy_defender_tank
general	troy_main_dan_apteron	troy_fighter_balanced
general	troy_main_dan_apteron	troy_fighter_disruptor
general	troy_main_dan_apteron	troy_fighter_killer
general	troy_main_dan_apteron	troy_warlord_tactician
general	troy_main_dan_apteron	troy_warlord_utility
general	troy_main_dan_apteron	troy_warlord_warmonger
minister	troy_main_dan_apteron	default
runesmith	troy_main_dan_apteron	default
spy	troy_main_dan_apteron	troy_agent_spy
wizard	troy_main_dan_apteron	default
champion	troy_main_dan_arcadians	troy_agent_priest
colonel	troy_main_dan_arcadians	troy_defender_aggro
colonel	troy_main_dan_arcadians	troy_fighter_balanced
colonel	troy_main_dan_arcadians	troy_fighter_disruptor
colonel	troy_main_dan_arcadians	troy_fighter_killer
dignitary	troy_main_dan_arcadians	troy_agent_envoy
engineer	troy_main_dan_arcadians	troy_agent_gorgon
engineer	troy_main_dan_arcadians	troy_agent_satyr
engineer	troy_main_dan_arcadians	troy_agent_seer
general	troy_main_dan_arcadians	troy_archer_skirmisher
general	troy_main_dan_arcadians	troy_archer_trickster
general	troy_main_dan_arcadians	troy_defender_aggro
general	troy_main_dan_arcadians	troy_defender_quick
general	troy_main_dan_arcadians	troy_defender_tank
general	troy_main_dan_arcadians	troy_fighter_balanced
general	troy_main_dan_arcadians	troy_fighter_disruptor
general	troy_main_dan_arcadians	troy_fighter_killer
general	troy_main_dan_arcadians	troy_warlord_tactician
general	troy_main_dan_arcadians	troy_warlord_utility
general	troy_main_dan_arcadians	troy_warlord_warmonger
minister	troy_main_dan_arcadians	default
runesmith	troy_main_dan_arcadians	default
spy	troy_main_dan_arcadians	troy_agent_spy
wizard	troy_main_dan_arcadians	default
champion	troy_main_dan_argos	troy_agent_priest
colonel	troy_main_dan_argos	troy_defender_aggro
colonel	troy_main_dan_argos	troy_fighter_balanced
colonel	troy_main_dan_argos	troy_fighter_disruptor
colonel	troy_main_dan_argos	troy_fighter_killer
dignitary	troy_main_dan_argos	troy_agent_envoy
engineer	troy_main_dan_argos	troy_agent_gorgon
engineer	troy_main_dan_argos	troy_agent_satyr
engineer	troy_main_dan_argos	troy_agent_seer
general	troy_main_dan_argos	troy_archer_skirmisher
general	troy_main_dan_argos	troy_archer_trickster
general	troy_main_dan_argos	troy_defender_aggro
general	troy_main_dan_argos	troy_defender_quick
general	troy_main_dan_argos	troy_defender_tank
general	troy_main_dan_argos	troy_fighter_balanced
general	troy_main_dan_argos	troy_fighter_disruptor
general	troy_main_dan_argos	troy_fighter_killer
general	troy_main_dan_argos	troy_warlord_tactician
general	troy_main_dan_argos	troy_warlord_utility
general	troy_main_dan_argos	troy_warlord_warmonger
minister	troy_main_dan_argos	default
runesmith	troy_main_dan_argos	default
spy	troy_main_dan_argos	troy_agent_spy
wizard	troy_main_dan_argos	default
champion	troy_main_dan_asia	troy_agent_priest
colonel	troy_main_dan_asia	troy_defender_aggro
colonel	troy_main_dan_asia	troy_fighter_balanced
colonel	troy_main_dan_asia	troy_fighter_disruptor
colonel	troy_main_dan_asia	troy_fighter_killer
dignitary	troy_main_dan_asia	troy_agent_envoy
engineer	troy_main_dan_asia	troy_agent_gorgon
engineer	troy_main_dan_asia	troy_agent_satyr
engineer	troy_main_dan_asia	troy_agent_seer
general	troy_main_dan_asia	troy_archer_skirmisher
general	troy_main_dan_asia	troy_archer_trickster
general	troy_main_dan_asia	troy_defender_aggro
general	troy_main_dan_asia	troy_defender_quick
general	troy_main_dan_asia	troy_defender_tank
general	troy_main_dan_asia	troy_fighter_balanced
general	troy_main_dan_asia	troy_fighter_disruptor
general	troy_main_dan_asia	troy_fighter_killer
general	troy_main_dan_asia	troy_warlord_tactician
general	troy_main_dan_asia	troy_warlord_utility
general	troy_main_dan_asia	troy_warlord_warmonger
minister	troy_main_dan_asia	default
runesmith	troy_main_dan_asia	default
spy	troy_main_dan_asia	troy_agent_spy
wizard	troy_main_dan_asia	default
champion	troy_main_dan_athina	troy_agent_priest
colonel	troy_main_dan_athina	troy_defender_aggro
colonel	troy_main_dan_athina	troy_fighter_balanced
colonel	troy_main_dan_athina	troy_fighter_disruptor
colonel	troy_main_dan_athina	troy_fighter_killer
dignitary	troy_main_dan_athina	troy_agent_envoy
engineer	troy_main_dan_athina	troy_agent_gorgon
engineer	troy_main_dan_athina	troy_agent_satyr
engineer	troy_main_dan_athina	troy_agent_seer
general	troy_main_dan_athina	troy_archer_skirmisher
general	troy_main_dan_athina	troy_archer_trickster
general	troy_main_dan_athina	troy_defender_aggro
general	troy_main_dan_athina	troy_defender_quick
general	troy_main_dan_athina	troy_defender_tank
general	troy_main_dan_athina	troy_fighter_balanced
general	troy_main_dan_athina	troy_fighter_disruptor
general	troy_main_dan_athina	troy_fighter_killer
general	troy_main_dan_athina	troy_warlord_tactician
general	troy_main_dan_athina	troy_warlord_utility
general	troy_main_dan_athina	troy_warlord_warmonger
minister	troy_main_dan_athina	default
runesmith	troy_main_dan_athina	default
spy	troy_main_dan_athina	troy_agent_spy
wizard	troy_main_dan_athina	default
champion	troy_main_dan_boeotians	troy_agent_priest
colonel	troy_main_dan_boeotians	troy_defender_aggro
colonel	troy_main_dan_boeotians	troy_fighter_balanced
colonel	troy_main_dan_boeotians	troy_fighter_disruptor
colonel	troy_main_dan_boeotians	troy_fighter_killer
dignitary	troy_main_dan_boeotians	troy_agent_envoy
engineer	troy_main_dan_boeotians	troy_agent_gorgon
engineer	troy_main_dan_boeotians	troy_agent_satyr
engineer	troy_main_dan_boeotians	troy_agent_seer
general	troy_main_dan_boeotians	troy_archer_skirmisher
general	troy_main_dan_boeotians	troy_archer_trickster
general	troy_main_dan_boeotians	troy_defender_aggro
general	troy_main_dan_boeotians	troy_defender_quick
general	troy_main_dan_boeotians	troy_defender_tank
general	troy_main_dan_boeotians	troy_fighter_balanced
general	troy_main_dan_boeotians	troy_fighter_disruptor
general	troy_main_dan_boeotians	troy_fighter_killer
general	troy_main_dan_boeotians	troy_warlord_tactician
general	troy_main_dan_boeotians	troy_warlord_utility
general	troy_main_dan_boeotians	troy_warlord_warmonger
minister	troy_main_dan_boeotians	default
runesmith	troy_main_dan_boeotians	default
spy	troy_main_dan_boeotians	troy_agent_spy
wizard	troy_main_dan_boeotians	default
champion	troy_main_dan_cassopaei	troy_agent_priest
colonel	troy_main_dan_cassopaei	troy_defender_aggro
colonel	troy_main_dan_cassopaei	troy_fighter_balanced
colonel	troy_main_dan_cassopaei	troy_fighter_disruptor
colonel	troy_main_dan_cassopaei	troy_fighter_killer
dignitary	troy_main_dan_cassopaei	troy_agent_envoy
engineer	troy_main_dan_cassopaei	troy_agent_gorgon
engineer	troy_main_dan_cassopaei	troy_agent_satyr
engineer	troy_main_dan_cassopaei	troy_agent_seer
general	troy_main_dan_cassopaei	troy_archer_skirmisher
general	troy_main_dan_cassopaei	troy_archer_trickster
general	troy_main_dan_cassopaei	troy_defender_aggro
general	troy_main_dan_cassopaei	troy_defender_quick
general	troy_main_dan_cassopaei	troy_defender_tank
general	troy_main_dan_cassopaei	troy_fighter_balanced
general	troy_main_dan_cassopaei	troy_fighter_disruptor
general	troy_main_dan_cassopaei	troy_fighter_killer
general	troy_main_dan_cassopaei	troy_warlord_tactician
general	troy_main_dan_cassopaei	troy_warlord_utility
general	troy_main_dan_cassopaei	troy_warlord_warmonger
minister	troy_main_dan_cassopaei	default
runesmith	troy_main_dan_cassopaei	default
spy	troy_main_dan_cassopaei	troy_agent_spy
wizard	troy_main_dan_cassopaei	default
champion	troy_main_dan_chersonesos	troy_agent_priest
colonel	troy_main_dan_chersonesos	troy_defender_aggro
colonel	troy_main_dan_chersonesos	troy_fighter_balanced
colonel	troy_main_dan_chersonesos	troy_fighter_disruptor
colonel	troy_main_dan_chersonesos	troy_fighter_killer
dignitary	troy_main_dan_chersonesos	troy_agent_envoy
engineer	troy_main_dan_chersonesos	troy_agent_gorgon
engineer	troy_main_dan_chersonesos	troy_agent_satyr
engineer	troy_main_dan_chersonesos	troy_agent_seer
general	troy_main_dan_chersonesos	troy_archer_skirmisher
general	troy_main_dan_chersonesos	troy_archer_trickster
general	troy_main_dan_chersonesos	troy_defender_aggro
general	troy_main_dan_chersonesos	troy_defender_quick
general	troy_main_dan_chersonesos	troy_defender_tank
general	troy_main_dan_chersonesos	troy_fighter_balanced
general	troy_main_dan_chersonesos	troy_fighter_disruptor
general	troy_main_dan_chersonesos	troy_fighter_killer
general	troy_main_dan_chersonesos	troy_warlord_tactician
general	troy_main_dan_chersonesos	troy_warlord_utility
general	troy_main_dan_chersonesos	troy_warlord_warmonger
minister	troy_main_dan_chersonesos	default
runesmith	troy_main_dan_chersonesos	default
spy	troy_main_dan_chersonesos	troy_agent_spy
wizard	troy_main_dan_chersonesos	default
champion	troy_main_dan_corinthians	troy_agent_priest
colonel	troy_main_dan_corinthians	troy_defender_aggro
colonel	troy_main_dan_corinthians	troy_fighter_balanced
colonel	troy_main_dan_corinthians	troy_fighter_disruptor
colonel	troy_main_dan_corinthians	troy_fighter_killer
dignitary	troy_main_dan_corinthians	troy_agent_envoy
engineer	troy_main_dan_corinthians	troy_agent_gorgon
engineer	troy_main_dan_corinthians	troy_agent_satyr
engineer	troy_main_dan_corinthians	troy_agent_seer
general	troy_main_dan_corinthians	troy_archer_skirmisher
general	troy_main_dan_corinthians	troy_archer_trickster
general	troy_main_dan_corinthians	troy_defender_aggro
general	troy_main_dan_corinthians	troy_defender_quick
general	troy_main_dan_corinthians	troy_defender_tank
general	troy_main_dan_corinthians	troy_fighter_balanced
general	troy_main_dan_corinthians	troy_fighter_disruptor
general	troy_main_dan_corinthians	troy_fighter_killer
general	troy_main_dan_corinthians	troy_warlord_tactician
general	troy_main_dan_corinthians	troy_warlord_utility
general	troy_main_dan_corinthians	troy_warlord_warmonger
minister	troy_main_dan_corinthians	default
runesmith	troy_main_dan_corinthians	default
spy	troy_main_dan_corinthians	troy_agent_spy
wizard	troy_main_dan_corinthians	default
champion	troy_main_dan_curetes	troy_agent_priest
colonel	troy_main_dan_curetes	troy_defender_aggro
colonel	troy_main_dan_curetes	troy_fighter_balanced
colonel	troy_main_dan_curetes	troy_fighter_disruptor
colonel	troy_main_dan_curetes	troy_fighter_killer
dignitary	troy_main_dan_curetes	troy_agent_envoy
engineer	troy_main_dan_curetes	troy_agent_gorgon
engineer	troy_main_dan_curetes	troy_agent_satyr
engineer	troy_main_dan_curetes	troy_agent_seer
general	troy_main_dan_curetes	troy_archer_skirmisher
general	troy_main_dan_curetes	troy_archer_trickster
general	troy_main_dan_curetes	troy_defender_aggro
general	troy_main_dan_curetes	troy_defender_quick
general	troy_main_dan_curetes	troy_defender_tank
general	troy_main_dan_curetes	troy_fighter_balanced
general	troy_main_dan_curetes	troy_fighter_disruptor
general	troy_main_dan_curetes	troy_fighter_killer
general	troy_main_dan_curetes	troy_warlord_tactician
general	troy_main_dan_curetes	troy_warlord_utility
general	troy_main_dan_curetes	troy_warlord_warmonger
minister	troy_main_dan_curetes	default
runesmith	troy_main_dan_curetes	default
spy	troy_main_dan_curetes	troy_agent_spy
wizard	troy_main_dan_curetes	default
champion	troy_main_dan_dindyma	troy_agent_priest
colonel	troy_main_dan_dindyma	troy_defender_aggro
colonel	troy_main_dan_dindyma	troy_fighter_balanced
colonel	troy_main_dan_dindyma	troy_fighter_disruptor
colonel	troy_main_dan_dindyma	troy_fighter_killer
dignitary	troy_main_dan_dindyma	troy_agent_envoy
engineer	troy_main_dan_dindyma	troy_agent_gorgon
engineer	troy_main_dan_dindyma	troy_agent_satyr
engineer	troy_main_dan_dindyma	troy_agent_seer
general	troy_main_dan_dindyma	troy_archer_skirmisher
general	troy_main_dan_dindyma	troy_archer_trickster
general	troy_main_dan_dindyma	troy_defender_aggro
general	troy_main_dan_dindyma	troy_defender_quick
general	troy_main_dan_dindyma	troy_defender_tank
general	troy_main_dan_dindyma	troy_fighter_balanced
general	troy_main_dan_dindyma	troy_fighter_disruptor
general	troy_main_dan_dindyma	troy_fighter_killer
general	troy_main_dan_dindyma	troy_warlord_tactician
general	troy_main_dan_dindyma	troy_warlord_utility
general	troy_main_dan_dindyma	troy_warlord_warmonger
minister	troy_main_dan_dindyma	default
