art_set_id	level	age	portrait	season	uniform	card	info	sea_uniform	navy_uniform	land_animation	sea_animation	navy_animation	id	religion	land_animation_vfx_filter	sea_animation_vfx_filter	new_field	new_field	new_field	voiceover	composite_scene
troy_dlc1_horde_amazons_fighter_2_chariot_3	0	0		none	troy_dlc1_fighter_2	troy_dlc1_ama_gen_fighter_hero_2		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_fighter_sword_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1017612807		0	0				vo_actor_amazon_genhero20s_02	
troy_warlord_pelasgian_hero_2	0	0		none	troy_warlord_pelasgian_hero_2	troy_warlord_pelasgian_hero_2		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_warlord_axe_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1017758799		0	0				vo_actor_group_genhero20s_02	
troy_dlc1_trojan_amazons_fighter_3_chariot_1	0	0		none	troy_dlc1_fighter_3	troy_dlc1_ama_gen_fighter_hero_3		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_fighter_sword_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1019581622		0	0				vo_actor_amazon_genhero20s_01	composite_scene\porthole\troy_dlc1_trojan_amazons_fighter_3_chariot_1.csc
troy_warlord_maeonian_hero_2_chariot_2	0	0		none	troy_warlord_maeonian_hero_2	troy_warlord_maeonian_hero_2		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_warlord_axe_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	102033273		0	0				vo_actor_group_genhero20s_03	composite_scene\porthole\troy_warlord_maeonian_hero_2_chariot_1.csc
troy_dlc1_horde_amazons_archer_1	0	0		none	troy_dlc1_archer_1	troy_dlc1_ama_gen_archer_hero_1		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_archer_sword_and_longbow	cam_heavy_ship_04	cam_heavy_ship_04	1020940728		0	0				vo_actor_amazon_genhero30s_01	
troy_fighter_pelasgian_hero_2	0	0		none	troy_fighter_pelasgian_hero_2	troy_fighter_pelasgian_hero_2		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_fighter_sword_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1021749440		0	0				vo_actor_group_genhero20s_01	
troy_fighter_hero_2_chariot_2	0	0		none	troy_fighter_hero_2	troy_fighter_hero_2		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_fighter_sword_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1022911269		0	0				vo_actor_group_genhero20s_01	composite_scene\porthole\troy_fighter_hero_2_chariot_2.csc
troy_dlc1_trojan_amazons_warlord_3_chariot_1	0	0		none	troy_dlc1_warlord_3	troy_dlc1_ama_gen_warlord_hero_3		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_warlord_axe_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1024055978		0	0				vo_actor_amazon_genhero20s_01	composite_scene\porthole\troy_dlc1_trojan_amazons_warlord_3_chariot_1.csc
troy_defender_ionian_hero_2_chariot_2	0	0		none	troy_defender_ionian_hero_2	troy_defender_ionian_hero_2		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_defender_spear_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1024699383		0	0				vo_actor_group_genhero20s_02	composite_scene\porthole\troy_defender_ionian_hero_2_chariot_1.csc
troy_archer_pelasgian_hero_4_chariot_2	0	0		none	troy_archer_pelasgian_hero_4	troy_archer_pelasgian_hero_4		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_archer_sword_and_longbow	cam_heavy_ship_04	cam_heavy_ship_04	102631496		0	0				vo_actor_group_genhero50s_02	composite_scene\porthole\troy_archer_pelasgian_hero_4_chariot_1.csc
troy_defender_idomeneus_chariot_3	0	0		none	troy_defender_idomeneus	troy_defender_idomeneus		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_defender_spear_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1028953718		0	0				vo_actor_group_genhero30s_01	composite_scene\porthole\troy_defender_idomeneus_chariot_3.csc
troy_defender_pelasgian_hero_4_chariot_3	0	0		none	troy_defender_pelasgian_hero_4	troy_defender_pelasgian_hero_4		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_defender_spear_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	102966		0	0				vo_actor_group_genhero50s_01	composite_scene\porthole\troy_defender_pelasgian_hero_4_chariot_3.csc
troy_fighter_troilos_chariot_4	0	0		none	troy_fighter_troilos	troy_fighter_troilos		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_fighter_sword_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1029770902		0	0				vo_actor_group_genhero30s_03	composite_scene\porthole\troy_fighter_troilos_chariot_3.csc
troy_fighter_ionian_hero_4_chariot_1	0	0		none	troy_fighter_ionian_hero_4	troy_fighter_ionian_hero_4		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_fighter_sword_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1032422067		0	0				vo_actor_group_genhero50s_02	composite_scene\porthole\troy_fighter_ionian_hero_4_chariot_1.csc
troy_warlord_lelegan_hero	0	0		none	troy_warlord_lelegan_hero	troy_warlord_lelegan_hero		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_warlord_axe_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1032468610		0	0				vo_actor_group_genhero30s_02	
troy_fighter_thracian_hero_4_chariot_2	0	0		none	troy_fighter_thracian_hero_4	troy_fighter_thracian_hero_4		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_fighter_sword_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1037758280		0	0				vo_actor_group_genhero50s_02	composite_scene\porthole\troy_fighter_thracian_hero_4_chariot_1.csc
troy_fighter_maeonian_hero_2	0	0		none	troy_fighter_maeonian_hero_2	troy_fighter_maeonian_hero_2		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_fighter_sword_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1045245010		0	0				vo_actor_group_genhero20s_02	
troy_hero_achilles_epic	0	0		none	troy_hero_achilles_epic	troy_hero_achilles_epic		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_achil_spear_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1046227406		0	0				vo_actor_group_hero_achilles	
troy_defender_chariot_4	0	0		none	troy_defender	troy_defender_hero		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_defender_spear_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1046307879		0	0				vo_actor_group_genhero30s_03	composite_scene\porthole\troy_defender_chariot_2.csc
troy_warlord_hero_2	0	0		none	troy_warlord_hero_2	troy_warlord_hero_2		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_warlord_axe_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1048517637		0	0				vo_actor_group_genhero20s_03	
troy_defender_nestor_old_chariot_4	0	0		none	troy_defender_nestor_old	troy_defender_nestor_old		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_defender_spear_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1049254869		0	0				vo_actor_group_genhero50s_01	composite_scene\porthole\troy_defender_nestor_old_chariot_2.csc
troy_defender_thracian_hero_4	0	0		none	troy_defender_thracian_hero_4	troy_defender_thracian_hero_4		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_defender_spear_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1052187820		0	0				vo_actor_group_genhero50s_02	
troy_defender_maeonian_hero_3_chariot_1	0	0		none	troy_defender_maeonian_hero_3	troy_defender_maeonian_hero_3		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_defender_spear_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1054826765		0	0				vo_actor_group_genhero20s_01	composite_scene\porthole\troy_defender_maeonian_hero_3_chariot_1.csc
troy_warlord_thracian_hero_4_chariot_2	0	0		none	troy_warlord_thracian_hero_4	troy_warlord_thracian_hero_4		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_warlord_axe_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1061679910		0	0				vo_actor_group_genhero50s_02	composite_scene\porthole\troy_warlord_thracian_hero_4_chariot_1.csc
troy_defender_nestor_old_chariot_1	0	0		none	troy_defender_nestor_old	troy_defender_nestor_old		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_defender_spear_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1061780727		0	0				vo_actor_group_genhero50s_01	composite_scene\porthole\troy_defender_nestor_old_chariot_1.csc
troy_warlord_dorian_hero_4	0	0		none	troy_warlord_dorian_hero_4	troy_warlord_dorian_hero_4		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_warlord_axe_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1062758815		0	0				vo_actor_group_genhero50s_02	
troy_warlord_pelasgian_hero	0	0		none	troy_warlord_pelasgian_hero	troy_warlord_pelasgian_hero		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_warlord_axe_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1064400086		0	0				vo_actor_group_genhero30s_03	
troy_fighter_lelegan_hero_3	0	0		none	troy_fighter_lelegan_hero_3	troy_fighter_lelegan_hero_3		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_fighter_sword_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1064521835		0	0				vo_actor_group_genhero20s_03	
troy_defender_ionian_hero_2_chariot_1	0	0		none	troy_defender_ionian_hero_2	troy_defender_ionian_hero_2		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_defender_spear_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1064904158		0	0				vo_actor_group_genhero20s_02	composite_scene\porthole\troy_defender_ionian_hero_2_chariot_1.csc
troy_defender_nestor_old_chariot_3	0	0		none	troy_defender_nestor_old	troy_defender_nestor_old		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_defender_spear_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1065622572		0	0				vo_actor_group_genhero50s_01	composite_scene\porthole\troy_defender_nestor_old_chariot_1.csc
troy_fighter_ionian_hero_2_chariot_1	0	0		none	troy_fighter_ionian_hero_2	troy_fighter_ionian_hero_2		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_fighter_sword_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	106950668		0	0				vo_actor_group_genhero20s_01	composite_scene\porthole\troy_fighter_ionian_hero_2_chariot_1.csc
troy_fighter_maeonian_hero_2_chariot_2	0	0		none	troy_fighter_maeonian_hero_2	troy_fighter_maeonian_hero_2		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_fighter_sword_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	10714145		0	0				vo_actor_group_genhero20s_02	composite_scene\porthole\troy_fighter_maeonian_hero_2_chariot_2.csc
troy_defender_aeolian_hero_3_chariot_3	0	0		none	troy_defender_aeolian_hero_3	troy_defender_aeolian_hero_3		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_defender_spear_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1081126779		0	0				vo_actor_group_genhero20s_03	composite_scene\porthole\troy_defender_aeolian_hero_3_chariot_3.csc
troy_archer_thracian_hero_4_chariot_2	0	0		none	troy_archer_thracian_hero_4	troy_archer_thracian_hero_4		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_archer_sword_and_longbow	cam_heavy_ship_04	cam_heavy_ship_04	1084036811		0	0				vo_actor_group_genhero50s_01	composite_scene\porthole\troy_archer_thracian_hero_4_chariot_1.csc
troy_fighter_dorian_hero_2_chariot_2	0	0		none	troy_fighter_dorian_hero_2	troy_fighter_dorian_hero_2		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_fighter_sword_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1086495413		0	0				vo_actor_group_genhero20s_03	composite_scene\porthole\troy_fighter_dorian_hero_2_chariot_1.csc
troy_warlord_ionian_hero_3_chariot_1	0	0		none	troy_warlord_ionian_hero_3	troy_warlord_ionian_hero_3		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_warlord_axe_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	108828122		0	0				vo_actor_group_genhero20s_01	composite_scene\porthole\troy_warlord_ionian_hero_3_chariot_1.csc
troy_fighter_aeolian_hero_chariot_1	0	0		none	troy_fighter_aeolian_hero	troy_fighter_aeolian_hero		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_fighter_sword_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1090819928		0	0				vo_actor_group_genhero30s_03	composite_scene\porthole\troy_fighter_aeolian_hero_chariot_1.csc
troy_dlc1_trojan_amazons_warlord_1_chariot_3	0	0		none	troy_dlc1_warlord_1	troy_dlc1_ama_gen_warlord_hero_1		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_warlord_axe_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1092267343		0	0				vo_actor_amazon_genhero20s_02	
troy_dlc1_trojan_amazons_fighter_1	0	0		none	troy_dlc1_fighter_1	troy_dlc1_ama_gen_fighter_hero_1		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_fighter_sword_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1093397831		0	0				vo_actor_amazon_genhero20s_01	
troy_defender_orestes_chariot_2	0	0		none	troy_defender_orestes	troy_defender_orestes		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_defender_spear_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1096234861		0	0				vo_actor_group_genhero20s_03	composite_scene\porthole\troy_defender_orestes_chariot_2.csc
troy_aeneas_chariot_2	0	0		none	troy_aeneas	troy_hero_aeneas		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_aeneas_sword_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1098749905		0	0				vo_actor_group_hero_aeneas	composite_scene\porthole\troy_aeneas_chariot_1.csc
troy_archer_aeolian_hero_4_chariot_1	0	0		none	troy_archer_aeolian_hero_4	troy_archer_aeolian_hero_4		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_archer_sword_and_longbow	cam_heavy_ship_04	cam_heavy_ship_04	1102898635		0	0				vo_actor_group_genhero50s_01	composite_scene\porthole\troy_archer_aeolian_hero_4_chariot_1.csc
troy_dlc1_horde_amazons_warlord_1_chariot_3	0	0		none	troy_dlc1_warlord_1	troy_dlc1_ama_gen_warlord_hero_1		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_warlord_axe_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1103606462		0	0				vo_actor_amazon_genhero20s_02	
troy_warlord_ionian_hero_chariot_1	0	0		none	troy_warlord_ionian_hero	troy_warlord_ionian_hero		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_warlord_axe_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1103949014		0	0				vo_actor_group_genhero30s_03	composite_scene\porthole\troy_warlord_ionian_hero_chariot_1.csc
troy_fighter_lelegan_hero_2	0	0		none	troy_fighter_lelegan_hero_2	troy_fighter_lelegan_hero_2		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_fighter_sword_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1104470422		0	0				vo_actor_group_genhero20s_02	
troy_defender_dorian_hero_2_chariot_2	0	0		none	troy_defender_dorian_hero_2	troy_defender_dorian_hero_2		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_defender_spear_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1104738380		0	0				vo_actor_group_genhero20s_02	composite_scene\porthole\troy_defender_dorian_hero_2_chariot_2.csc
troy_archer_pelasgian_hero_3_chariot_3	0	0		none	troy_archer_pelasgian_hero_3	troy_archer_pelasgian_hero_3		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_archer_sword_and_longbow	cam_heavy_ship_04	cam_heavy_ship_04	1104791798		0	0				vo_actor_group_genhero20s_01	composite_scene\porthole\troy_archer_pelasgian_hero_3_chariot_1.csc
troy_fighter_thracian_hero_2	0	0		none	troy_fighter_thracian_hero_2	troy_fighter_thracian_hero_2		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_fighter_sword_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1105404235		0	0				vo_actor_group_genhero20s_01	
troy_dlc1_horde_amazons_fighter_1_chariot_3	0	0		none	troy_dlc1_fighter_1	troy_dlc1_ama_gen_fighter_hero_1		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_fighter_sword_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1109398200		0	0				vo_actor_amazon_genhero20s_01	composite_scene\porthole\troy_dlc1_horde_amazons_fighter_1_chariot_3.csc
troy_defender_glaucos_chariot_1	0	0		none	troy_defender_glaucos	troy_defender_glaucos		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_defender_spear_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1112836939		0	0				vo_actor_group_genhero20s_02	composite_scene\porthole\troy_defender_glaucos_chariot_1.csc
troy_defender_maeonian_hero_3_chariot_3	0	0		none	troy_defender_maeonian_hero_3	troy_defender_maeonian_hero_3		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_defender_spear_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1115399735		0	0				vo_actor_group_genhero20s_01	composite_scene\porthole\troy_defender_maeonian_hero_3_chariot_3.csc
troy_warlord_aeolian_hero_3_chariot_3	0	0		none	troy_warlord_aeolian_hero_3	troy_warlord_aeolian_hero_3		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_warlord_axe_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1119348234		0	0				vo_actor_group_genhero20s_03	composite_scene\porthole\troy_warlord_aeolian_hero_3_chariot_3.csc
troy_defender_aeolian_hero_4_chariot_1	0	0		none	troy_defender_aeolian_hero_4	troy_defender_aeolian_hero_4		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_defender_spear_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1126589542		0	0				vo_actor_group_genhero50s_02	composite_scene\porthole\troy_defender_aeolian_hero_4_chariot_1.csc
troy_defender_chariot_3	0	0		none	troy_defender	troy_defender_hero		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_defender_spear_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1126747291		0	0				vo_actor_group_genhero30s_03	composite_scene\porthole\troy_defender_chariot_1.csc
troy_warlord_chariot_2	0	0		none	troy_warlord	troy_warlord_hero		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_warlord_axe_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1126781940		0	0				vo_actor_group_genhero30s_02	composite_scene\porthole\troy_warlord_chariot_1.csc
troy_archer_ionian_hero_4_chariot_2	0	0		none	troy_archer_ionian_hero_4	troy_archer_ionian_hero_4		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_archer_sword_and_longbow	cam_heavy_ship_04	cam_heavy_ship_04	1129281720		0	0				vo_actor_group_genhero50s_02	composite_scene\porthole\troy_archer_ionian_hero_4_chariot_1.csc
troy_fighter_dorian_hero_4_chariot_4	0	0		none	troy_fighter_dorian_hero_4	troy_fighter_dorian_hero_4		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_fighter_sword_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1129604589		0	0				vo_actor_group_genhero50s_01	composite_scene\porthole\troy_fighter_dorian_hero_4_chariot_3.csc
troy_warlord_ionian_hero_4_chariot_2	0	0		none	troy_warlord_ionian_hero_4	troy_warlord_ionian_hero_4		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_warlord_axe_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1133266127		0	0				vo_actor_group_genhero50s_01	composite_scene\porthole\troy_warlord_ionian_hero_4_chariot_1.csc
troy_defender_ajax_chariot_3	0	0		none	troy_defender_ajax	troy_defender_ajax		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_defender_spear_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1136155116		0	0				vo_actor_group_genhero30s_03	composite_scene\porthole\troy_defender_ajax_chariot_3.csc
troy_defender_aeolian_hero_chariot_3	0	0		none	troy_defender_aeolian_hero	troy_defender_aeolian_hero		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_defender_spear_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1137668427		0	0				vo_actor_group_genhero30s_01	composite_scene\porthole\troy_defender_aeolian_hero_chariot_1.csc
troy_defender_pelasgian_hero_3_chariot_1	0	0		none	troy_defender_pelasgian_hero_3	troy_defender_pelasgian_hero_3		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_defender_spear_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1138528646		0	0				vo_actor_group_genhero20s_01	composite_scene\porthole\troy_defender_pelasgian_hero_3_chariot_1.csc
troy_archer_dorian_hero_2	0	0		none	troy_archer_dorian_hero_2	troy_archer_dorian_hero_2		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_archer_sword_and_longbow	cam_heavy_ship_04	cam_heavy_ship_04	1142134912		0	0				vo_actor_group_genhero20s_02	
troy_fighter_ionian_hero_3	0	0		none	troy_fighter_ionian_hero_3	troy_fighter_ionian_hero_3		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_fighter_sword_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1142725596		0	0				vo_actor_group_genhero20s_02	
troy_archer_lelegan_hero_4_chariot_1	0	0		none	troy_archer_lelegan_hero_4	troy_archer_lelegan_hero_4		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_archer_sword_and_longbow	cam_heavy_ship_04	cam_heavy_ship_04	1143769859		0	0				vo_actor_group_genhero50s_01	composite_scene\porthole\troy_archer_lelegan_hero_4_chariot_1.csc
troy_archer_ionian_hero	0	0		none	troy_archer_ionian_hero	troy_archer_ionian_hero		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_archer_sword_and_longbow	cam_heavy_ship_04	cam_heavy_ship_04	1150031064		0	0				vo_actor_group_genhero30s_01	
troy_fighter_maeonian_hero_4	0	0		none	troy_fighter_maeonian_hero_4	troy_fighter_maeonian_hero_4		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_fighter_sword_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1155477099		0	0				vo_actor_group_genhero50s_01	
troy_dlc1_trojan_amazons_warlord_2_chariot_1	0	0		none	troy_dlc1_warlord_2	troy_dlc1_ama_gen_warlord_hero_2		troy_campaign_glb_transport_ship	troy_campaign_glb_transport_ship	cam_hu1_warlord_axe_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	1157147772		0	0				vo_actor_amazon_genhero30s_01	composite_scene\porthole\troy_dlc1_trojan_amazons_warlord_2_chariot_1.csc
