effect	icon	priority	icon_negative	category	is_positive_value_good
troy_dlc1_hero_unit_experience_spec_ranged	fx_icon_experience.png	100	fx_icon_experience.png	campaign	true
troy_dlc1_hero_unit_melee_attack_to_blood_oath_units	skill_node_icon_dlc1_battle_glory.png	1	skill_node_icon_dlc1_battle_glory.png	battle	true
troy_dlc1_hero_unit_melee_defence_to_blood_oath_units	skill_node_icon_dlc1_battle_glory.png	1	skill_node_icon_dlc1_battle_glory.png	battle	true
troy_dlc1_horde_building_cost_mod_all	fx_icon_resource_upkeep.png	101	fx_icon_resource_income.png	campaign	false
troy_dlc1_horde_building_cost_mod_civil_buildings	fx_icon_construction.png	100	fx_icon_construction.png	campaign	false
troy_dlc1_horde_building_cost_mod_military_buildings	fx_icon_construction.png	100	fx_icon_construction.png	campaign	false
troy_dlc1_horde_building_cost_mod_temples_all	fx_icon_construction.png	101	fx_icon_construction.png	campaign	false
troy_dlc1_trait_effect_horde_cannot_reinforce_dummy	dlc1_momentum_icon.png	999	dlc1_momentum_icon.png	battle	false
troy_effect_achilles_gods_favour_mod_from_temples	fx_icon_favour.png	100	fx_icon_favour.png	campaign	true
troy_effect_add_outcome_agent_add_bronze	fx_icon_bronze_income.png	100	fx_icon_bronze_upkeep.png	campaign	true
troy_effect_add_outcome_agent_add_food	fx_icon_food_income.png	100	fx_icon_food_upkeep.png	campaign	true
troy_effect_add_outcome_agent_add_gold	fx_icon_gold_income.png	100	fx_icon_gold_upkeep.png	campaign	true
troy_effect_add_outcome_agent_add_stone	fx_icon_stone_income.png	100	fx_icon_stone_upkeep.png	campaign	true
troy_effect_add_outcome_agent_add_wood	fx_icon_wood_income.png	100	fx_icon_wood_upkeep.png	campaign	true
troy_effect_add_outcome_agent_critical_failure_mod	fx_icon_agent.png	100	fx_icon_agent.png	campaign	false
troy_effect_add_outcome_agent_critical_failure_not_wounded	fx_icon_agent.png	100	fx_icon_agent.png	campaign	true
troy_effect_add_outcome_agent_envoy_alter_influence_acheans	fx_icon_influence.png	100	fx_icon_influence.png	campaign	true
troy_effect_add_outcome_agent_envoy_campaign_movement_mod_armies_agent	fx_icon_campaign_movement.png	101	fx_icon_campaign_movement.png	campaign	true
troy_effect_add_outcome_agent_envoy_fatigue_resistance_mod_stamina	fx_icon_fatigue_positive.png	101	fx_icon_fatigue_negative.png	battle	true
troy_effect_add_outcome_agent_envoy_influence_own_settlement_mod	fx_icon_influence.png	100	fx_icon_influence.png	campaign	true
troy_effect_add_outcome_agent_envoy_movement_mod_armies_enemy	fx_icon_campaign_movement.png	100	fx_icon_campaign_movement.png	campaign	false
troy_effect_add_outcome_agent_envoy_piercing_damage	fx_icon_armour.png	100	fx_icon_armour.png	campaign	true
troy_effect_add_outcome_agent_gorgon_cursed_presence		0		campaign	true
troy_effect_add_outcome_agent_priestess_sacrifice_bad_omen_morale_mod	fx_icon_priest.png	100	fx_icon_priest.png	campaign	false
troy_effect_add_outcome_agent_priestess_successful_wrath_act_again	fx_icon_agent.png	100	fx_icon_agent.png	campaign	false
troy_effect_add_outcome_agent_priestesss_block_points_replenishment		0		campaign	true
troy_effect_add_outcome_agent_recruitment_rank_agents	fx_icon_experience.png	101	fx_icon_experience.png	campaign	true
troy_effect_add_outcome_agent_spy_campaign_movement_mod_agent_enemy	fx_icon_campaign_movement.png	100	fx_icon_campaign_movement.png	campaign	false
troy_effect_add_outcome_agent_spy_damage_enemy_building	fx_icon_siege_attack.png	99	fx_icon_siege_attack.png	campaign	true
troy_effect_add_outcome_agent_spy_damage_resistance_for_own_army	fx_icon_armour.png	100	fx_icon_armour.png	campaign	true
troy_effect_add_outcome_agent_spy_enemy_settlement_public_order	fx_icon_happiness.png	100	fx_icon_happiness.png	campaign	true
troy_effect_add_outcome_agent_spy_enemy_success_rate_weird_bonus_value	fx_icon_agent.png	100	fx_icon_agent.png	campaign	false
troy_effect_add_outcome_agent_spy_envoy_priestess_damage_enemy_garrison_mod	fx_icon_siege_attack.png	100	fx_icon_siege_attack.png	campaign	true
troy_effect_add_outcome_agent_spy_envoy_priestess_fail_act_again	fx_icon_agent.png	100	fx_icon_agent.png	campaign	true
troy_effect_add_outcome_agent_spy_growth_all	fx_icon_growth.png	100	fx_icon_growth_negative.png	campaign	true
troy_effect_add_outcome_agent_spy_own_settlement_public_order	fx_icon_happiness.png	100	fx_icon_happiness.png	campaign	true
troy_effect_add_outcome_agent_spy_own_settlement_sight_operational	fx_icon_siege_defence.png	100	fx_icon_siege_defence.png	campaign	true
troy_effect_add_outcome_agent_spy_poison_enemy_army_cannot_fail	fx_icon_agent.png	100	fx_icon_agent.png	campaign	true
troy_effect_add_outcome_agent_spy_poison_enemy_army_mod	fx_icon_agent.png	100	fx_icon_agent.png	campaign	true
troy_effect_add_outcome_agent_spy_poisoning_hero	fx_icon_agent.png	100	fx_icon_agent.png	campaign	true
troy_effect_add_outcome_agent_spy_success_assassinate_attritions_enemy_army	fx_icon_agent.png	100	fx_icon_agent.png	campaign	true
troy_effect_add_outcome_army_battle_speed_movement_all_units	fx_icon_battle_movement.png	115	fx_icon_battle_movement.png	battle	false
troy_effect_add_outcome_army_campaign_ambush_defence_success_chance	fx_icon_ambush.png	110	fx_icon_ambush.png	campaign	true
troy_effect_add_outcome_army_effect_morale_mod	fx_icon_morale.png	100	fx_icon_morale.png	campaign	true
troy_effect_add_outcome_army_melee_attack_mod_all	fx_icon_melee.png	101	fx_icon_melee.png	battle	true
troy_effect_add_outcome_army_melee_attack_mod_all_enemy_army	fx_icon_melee.png	100	fx_icon_melee.png	battle	false
troy_effect_add_outcome_army_melee_defence_mod_all	fx_icon_defence.png	61	fx_icon_defence.png	battle	true
troy_effect_add_outcome_army_melee_defence_mod_all_enemy_units	fx_icon_defence.png	100	fx_icon_defence.png	battle	false
troy_effect_add_outcome_army_morale_all_enemy_units	fx_icon_morale.png	101	fx_icon_morale.png	battle	false
troy_effect_add_outcome_army_post_battle_loot_mod	fx_icon_resource_income.png	101	fx_icon_resource_upkeep.png	campaign	true
troy_effect_add_outcome_army_recruitment_cost_mod_all_army_units	fx_icon_resource_income.png	101	fx_icon_resource_upkeep.png	campaign	false
troy_effect_add_outcome_army_upkeep_mod_all	fx_icon_resource_income.png	101	fx_icon_resource_upkeep.png	campaign	false
troy_effect_add_outcome_army_weapon_damage_mod_mult	fx_icon_weapon_damage.png	55	fx_icon_weapon_damage.png	battle	false
troy_effect_add_outcome_building_cost_mod_all	fx_icon_resource_upkeep.png	101	fx_icon_resource_income.png	campaign	false
troy_effect_add_outcome_building_cost_mod_main_buildings	fx_icon_resource_upkeep.png	101	fx_icon_resource_income.png	campaign	false
troy_effect_add_outcome_building_cost_mod_temples_all	fx_icon_resource_upkeep.png	101	fx_icon_resource_income.png	campaign	false
troy_effect_add_outcome_building_recruitment_rank_all	fx_icon_experience.png	100	fx_icon_experience.png	campaign	true
troy_effect_add_outcome_buildings_replenishment	fx_icon_replenishment.png	50	fx_icon_replenishment.png	campaign	true
troy_effect_add_outcome_construction_time_mod_all	fx_icon_construction.png	100	fx_icon_construction.png	campaign	false
troy_effect_add_outcome_economy_buildings_add_gold	fx_icon_gold_income.png	1	fx_icon_gold_upkeep.png	campaign	true
troy_effect_add_outcome_economy_mining_mod_stone	fx_icon_stone_income.png	1	fx_icon_stone_upkeep.png	campaign	true
troy_effect_add_outcome_economy_mod_all_resources	fx_icon_resource_income.png	1	fx_icon_resource_upkeep.png	campaign	true
troy_effect_add_outcome_economy_mod_all_resources_wood	fx_icon_wood_income.png	1	fx_icon_wood_income.png	campaign	true
troy_effect_add_outcome_economy_other_add_bronze	fx_icon_bronze_income.png	1	fx_icon_bronze_upkeep.png	campaign	true
troy_effect_add_outcome_economy_other_add_gold	fx_icon_gold_income.png	1	fx_icon_gold_upkeep.png	campaign	true
troy_effect_add_outcome_envoy_campaign_happiness	fx_icon_happiness.png	100	fx_icon_happiness.png	campaign	true
troy_effect_add_outcome_faction_unit_recruitment_points	fx_icon_unit_capacity.png	270	fx_icon_unit_capacity.png	campaign	true
troy_effect_add_outcome_gods_success_rate_agents	fx_icon_agent.png	101	fx_icon_agent.png	campaign	true
troy_effect_add_outcome_hero_campaign_agent_recruitment_rank	fx_icon_experience.png	600	fx_icon_experience.png	campaign	true
troy_effect_add_outcome_hero_campaign_ambush_success	fx_icon_ambush.png	600	fx_icon_ambush.png	campaign	true
troy_effect_add_outcome_hero_campaign_happiness	fx_icon_happiness.png	600	fx_icon_happiness.png	campaign	true
troy_effect_add_outcome_hero_campaign_upkeep	fx_icon_resource_upkeep.png	600	fx_icon_resource_income.png	campaign	false
troy_effect_add_outcome_priestess_agent_experience_gain	fx_icon_experience.png	100	fx_icon_experience.png	campaign	true
troy_effect_agent_action_cost_mod_all_agents	fx_icon_resource_upkeep.png	101	fx_icon_resource_income.png	campaign	false
troy_effect_agent_action_cost_mod_this_agent	fx_icon_agent.png	100	fx_icon_agent.png	campaign	false
troy_effect_agent_action_enable_establish_supply_base		0		campaign	true
troy_effect_agent_action_hinder_settlement_establish_supply_base_cost_mod_hidden		0		campaign	true
troy_effect_agent_action_supply_base_established_fatigue	fx_icon_siege_attack.png	0	fx_icon_siege_attack.png	campaign	true
troy_effect_agent_action_vs_settlements_chance_mod	fx_icon_siege_attack.png	100	fx_icon_siege_attack.png	campaign	true
troy_effect_agent_actions_against_people_cost_mod	fx_icon_agent.png	100	fx_icon_agent.png	campaign	false
troy_effect_agent_actions_against_settlements_cost_mod	fx_icon_siege_attack.png	100	fx_icon_siege_attack.png	campaign	false
troy_effect_agent_add_bronze	fx_icon_bronze_income.png	100	fx_icon_bronze_upkeep.png	campaign	true
troy_effect_agent_add_food	fx_icon_food_income.png	100	fx_icon_food_upkeep.png	campaign	true
troy_effect_agent_add_gold	fx_icon_gold_income.png	100	fx_icon_gold_upkeep.png	campaign	true
troy_effect_agent_add_stone	fx_icon_stone_income.png	100	fx_icon_stone_upkeep.png	campaign	true
troy_effect_agent_add_wood	fx_icon_wood_income.png	100	fx_icon_wood_upkeep.png	campaign	true
troy_effect_agent_agent_action_enable_dignitary_hinder_settlement_establish_supply_base		0		campaign	true
troy_effect_agent_cap_increase_envoy	fx_icon_envoy.png	100	fx_icon_envoy.png	campaign	true
troy_effect_agent_cap_increase_priest	fx_icon_priest.png	20	fx_icon_priest.png	campaign	true
troy_effect_agent_cap_increase_spy	fx_icon_spy.png	100	fx_icon_spy.png	campaign	true
troy_effect_agent_cap_mod_gorgon	fx_icon_gorgon.png	100	fx_icon_gorgon.png	campaign	true
troy_effect_agent_cap_mod_satyr	fx_icon_satyr.png	100	fx_icon_satyr.png	campaign	true
troy_effect_agent_cap_mod_seer	fx_icon_seer.png	100	fx_icon_seer.png	campaign	true
troy_effect_agent_chance_critical_failure_mod	fx_icon_agent.png	100	fx_icon_agent.png	campaign	true
troy_effect_agent_critical_failure_mod	fx_icon_agent.png	100	fx_icon_agent.png	campaign	false
troy_effect_agent_critical_failure_not_wounded	fx_icon_agent.png	100	fx_icon_agent.png	campaign	false
troy_effect_agent_critical_success_mod_agents	fx_icon_agent.png	101	fx_icon_agent.png	campaign	true
troy_effect_agent_enable_additional_options	fx_icon_diplomacy.png	0		campaign	true
troy_effect_agent_enemy_critical_failure_against_this_agent_mod	fx_icon_agent.png	100	fx_icon_agent.png	campaign	true
troy_effect_agent_enemy_success_chance_against_this_agent_mod	fx_icon_agent.png	100	fx_icon_agent.png	campaign	false
troy_effect_agent_enemy_success_chance_against_this_agent_per_level_HIDDEN		0		campaign	false
troy_effect_agent_enemy_success_chance_against_this_general_mod	fx_icon_defence.png	100	fx_icon_defence.png	campaign	true
troy_effect_agent_enemy_success_chance_against_this_general_mod_2	fx_icon_defence.png	100	fx_icon_defence.png	campaign	false
troy_effect_agent_enemy_success_rate		0		campaign	false
troy_effect_agent_enemy_success_rate_agent_ids	fx_icon_agent.png	100	fx_icon_agent.png	campaign	false
troy_effect_agent_envoy_actions_cost_mod	fx_icon_envoy.png	100	fx_icon_campaign_movement.png	campaign	false
troy_effect_agent_envoy_alter_influence_acheans_factor_character	fx_icon_influence.png	100	fx_icon_influence.png	campaign	true
troy_effect_agent_envoy_arrest_priest_mod	fx_icon_priest.png	100	fx_icon_priest.png	campaign	true
troy_effect_agent_envoy_arrest_spy_dummy_enabled	fx_icon_envoy.png	100	fx_icon_envoy.png	campaign	true
troy_effect_agent_envoy_arrest_spy_mod	fx_icon_spy.png	100	fx_icon_spy.png	campaign	true
troy_effect_agent_envoy_arrest_unlock	fx_icon_campaign_movement.png	100	fx_icon_campaign_movement.png	campaign	true
troy_effect_agent_envoy_assist_settlement_influence		0		campaign	false
troy_effect_agent_envoy_available	fx_icon_envoy.png	100	fx_icon_envoy.png	campaign	true
troy_effect_agent_envoy_campaign_movement_mod_armies_agent	fx_icon_campaign_movement.png	101	fx_icon_campaign_movement.png	campaign	true
troy_effect_agent_envoy_campaign_movement_own_army		0		campaign	true
troy_effect_agent_envoy_compromised_maps_cannot_fail	fx_icon_agent.png	100	fx_icon_agent.png	campaign	true
troy_effect_agent_envoy_cost_of_actions	fx_icon_envoy.png	100	fx_icon_envoy.png	campaign	false
troy_effect_agent_envoy_enable_force_army_retreat	fx_icon_agent.png	104	fx_icon_agent.png	campaign	true
troy_effect_agent_envoy_fatigue_resistance_mod_stamina	fx_icon_fatigue_positive.png	101	fx_icon_fatigue_negative.png	battle	true
troy_effect_agent_envoy_fatigue_resistance_mod_stamina_embedded	fx_icon_fatigue_positive.png	100	fx_icon_fatigue_negative.png	battle	false
troy_effect_agent_envoy_hinder_movement_plant_informant_chance_mod	fx_icon_envoy.png	100	fx_icon_campaign_movement.png	campaign	true
troy_effect_agent_envoy_hinder_settlement_influence		0		campaign	true
troy_effect_agent_envoy_influence_own_settlement_mod_factor_character	fx_icon_influence.png	100	fx_icon_influence.png	campaign	true
troy_effect_agent_envoy_melee_attack_mod_passive	fx_icon_melee.png	101	fx_icon_melee.png	battle	true
troy_effect_agent_envoy_melee_defence_mod_passive	fx_icon_defence.png	61	fx_icon_defence.png	battle	true
troy_effect_agent_envoy_movement_mod_armies_enemy	fx_icon_campaign_movement.png	100	fx_icon_campaign_movement.png	campaign	true
troy_effect_agent_envoy_piercing_damage	fx_icon_armour.png	100	fx_icon_armour.png	campaign	true
troy_effect_agent_envoy_plant_informant		0		campaign	true
troy_effect_agent_envoy_plant_informant_cannot_fail	fx_icon_agent.png	100	fx_icon_agent.png	campaign	true
troy_effect_agent_envoy_plant_informant_duration_mod	fx_icon_agent.png	100	fx_icon_agent.png	campaign	true
troy_effect_agent_envoy_plant_informant_range_mod	fx_icon_agent.png	100	fx_icon_agent.png	campaign	true
troy_effect_agent_envoy_priestess_favour_all_gods	fx_icon_favour.png	100	fx_icon_favour.png	campaign	true
troy_effect_agent_envoy_upkeep_mod_passive	fx_icon_resource_upkeep.png	101	fx_icon_resource_income.png	campaign	false
troy_effect_agent_envoy_upkeep_own_armies		0		campaign	true
troy_effect_agent_evnoy_test_settlement_attacked		0		campaign	true
troy_effect_agent_gorgon_available	fx_icon_gorgon.png	100	fx_icon_gorgon.png	campaign	true
troy_effect_agent_gorgon_cursed_presence		0		campaign	true
troy_effect_agent_gorgon_petrifying_enemy_army		0		campaign	true
troy_effect_agent_gorgon_satyr_seer_available_building	fx_icon_gorgon.png	0	fx_icon_gorgon.png	campaign	true
troy_effect_agent_gorgon_terrifying	fx_icon_morale.png	100	fx_icon_morale.png	campaign	true
troy_effect_agent_hinder_enemy_army		0		campaign	true
troy_effect_agent_hinder_enemy_characters		0		campaign	true
troy_effect_agent_horde_spy_basic_infrastructure_cost	fx_icon_construction.png	101	fx_icon_construction.png	campaign	false
troy_effect_agent_instant_recovery_time_mod_agents_only	fx_icon_wound_time.png	101	fx_icon_wound_time.png	campaign	false
troy_effect_agent_instant_recovery_time_mod_heroes_only	fx_icon_wound_time.png	101	fx_icon_wound_time.png	campaign	false
troy_effect_agent_movement_mod	fx_icon_campaign_movement.png	100	fx_icon_campaign_movement.png	campaign	true
troy_effect_agent_own_settlement_sight		0		campaign	true
troy_effect_agent_priest_available	fx_icon_priest.png	10	fx_icon_priest.png	campaign	true
troy_effect_agent_priest_success_make_them_retreat_attritions_enemy_army	fx_icon_morale.png	100	fx_icon_morale.png	campaign	true
troy_effect_agent_priestess_charge_bonus_mod_when_fighting_on_land	fx_icon_campaign_movement.png	101	fx_icon_campaign_movement.png	battle	true
troy_effect_agent_priestess_cost_of_actions	fx_icon_priest.png	100	fx_icon_priest.png	campaign	false
troy_effect_agent_priestess_divine_protection_aphrodite	fx_icon_aphrodite_gaf_positive.png	100	fx_icon_aphrodite_gaf_negative.png	campaign	true
troy_effect_agent_priestess_divine_protection_aphrodite_up_poseidon_down	fx_icon_aphrodite_gaf_positive.png	100	fx_icon_aphrodite_gaf_negative.png	campaign	true
troy_effect_agent_priestess_divine_protection_apollo	fx_icon_apollo_gaf_positive.png	100	fx_icon_apollo_gaf_negative.png	campaign	true
troy_effect_agent_priestess_divine_protection_apollo_up_artemis_down	fx_icon_apollo_gaf_positive.png	100	fx_icon_apollo_gaf_negative.png	campaign	true
troy_effect_agent_priestess_divine_protection_ares	fx_icon_ares_gaf_positive.png	100	fx_icon_ares_gaf_negative.png	campaign	true
troy_effect_agent_priestess_divine_protection_ares_up_athena_down	fx_icon_ares_gaf_positive.png	100	fx_icon_ares_gaf_negative.png	campaign	true
troy_effect_agent_priestess_divine_protection_artemis	fx_icon_artemis_gaf_positive.png	100	fx_icon_artemis_gaf_negative.png	campaign	true
troy_effect_agent_priestess_divine_protection_artemis_up_apollo_down	fx_icon_artemis_gaf_positive.png	100	fx_icon_artemis_gaf_negative.png	campaign	true
troy_effect_agent_priestess_divine_protection_athena	fx_icon_athena_gaf_positive.png	100	fx_icon_athena_gaf_negative.png	campaign	true
troy_effect_agent_priestess_divine_protection_athena_up_ares_down	fx_icon_athena_gaf_positive.png	100	fx_icon_athena_gaf_negative.png	campaign	true
troy_effect_agent_priestess_divine_protection_hera	fx_icon_hera_gaf_positive.png	100	fx_icon_hera_gaf_positive.png	campaign	true
troy_effect_agent_priestess_divine_protection_hera_up_zeus_down	fx_icon_hera_gaf_positive.png	100	fx_icon_hera_gaf_positive.png	campaign	true
troy_effect_agent_priestess_divine_protection_poseidon	fx_icon_poseidon_gaf_positive.png	100	fx_icon_poseidon_gaf_negative.png	campaign	true
troy_effect_agent_priestess_divine_protection_poseidon_up_aphrodite_down	fx_icon_poseidon_gaf_positive.png	100	fx_icon_poseidon_gaf_negative.png	campaign	true
troy_effect_agent_priestess_divine_protection_zeus	fx_icon_zeus_gaf_positive.png	100	fx_icon_zeus_gaf_negative.png	campaign	true
troy_effect_agent_priestess_divine_protection_zeus_up_hera_down	fx_icon_zeus_gaf_positive.png	100	fx_icon_zeus_gaf_negative.png	campaign	true
troy_effect_agent_priestess_divine_wrath_success_chance_mod	fx_icon_priest.png	100	fx_icon_priest.png	campaign	true
troy_effect_agent_priestess_enable_priest_passive		100		campaign	true
troy_effect_agent_priestess_favour_all_gods_when_critical_success	fx_icon_favour.png	100	fx_icon_favour.png	campaign	true
troy_effect_agent_priestess_make_them_retreat_success_chance_mod	fx_icon_agent.png	100	fx_icon_agent.png	campaign	true
troy_effect_agent_priestess_persuade_agent_dummy_enabled	fx_icon_priest.png	100	fx_icon_priest.png	campaign	true
troy_effect_agent_priestess_persuade_envoy_mod	fx_icon_campaign_movement.png	100	fx_icon_campaign_movement.png	campaign	true
troy_effect_agent_priestess_persuade_spy_mod	fx_icon_campaign_movement.png	100	fx_icon_campaign_movement.png	campaign	true
troy_effect_agent_priestess_persuade_unlock	fx_icon_campaign_movement.png	0	fx_icon_campaign_movement.png	campaign	true
troy_effect_agent_priestess_ritual_enemy		0		campaign	false
troy_effect_agent_priestess_ritual_own		0		campaign	false
troy_effect_agent_priestess_rituals_enemy_god_favour_mod	fx_icon_favour.png	100	fx_icon_favour.png	campaign	true
troy_effect_agent_priestess_rituals_own_god_favour_mod	fx_icon_favour.png	100	fx_icon_favour.png	campaign	true
troy_effect_agent_priestess_rituals_own_god_favour_time_mod	fx_icon_favour.png	100	fx_icon_favour.png	campaign	true
troy_effect_agent_priestess_rituals_success_chance_mod	fx_icon_priest.png	100	fx_icon_priest.png	campaign	true
troy_effect_agent_priestess_rituals_success_chance_mod_cooldown_agent_action	fx_icon_priest.png	0	fx_icon_priest.png	campaign	true
troy_effect_agent_priestess_rituals_success_chance_mod_cooldown_agent_action_vs_enemy	fx_icon_priest.png	0	fx_icon_priest.png	campaign	true
troy_effect_agent_priestess_sacrifce_chance_of_good_omens	fx_icon_priest.png	100	fx_icon_priest.png	campaign	true
troy_effect_agent_priestess_sacrifice		0		campaign	true
troy_effect_agent_priestess_sacrifice_bad_omen_melee_attack_mod	fx_icon_priest.png	100	fx_icon_priest.png	campaign	true
troy_effect_agent_priestess_sacrifice_bad_omen_melee_defence_mod	fx_icon_priest.png	100	fx_icon_priest.png	campaign	true
troy_effect_agent_priestess_sacrifice_bad_omen_missile_damage_mod	fx_icon_priest.png	100	fx_icon_priest.png	campaign	true
troy_effect_agent_priestess_sacrifice_bad_omen_morale_mod	fx_icon_priest.png	100	fx_icon_priest.png	campaign	true
troy_effect_agent_priestess_sacrifice_good_omen_melee_attack_mod	fx_icon_melee.png	100	fx_icon_melee.png	campaign	true
troy_effect_agent_priestess_sacrifice_good_omen_melee_defence_mod	fx_icon_defence.png	100	fx_icon_defence.png	campaign	true
troy_effect_agent_priestess_sacrifice_good_omen_missile_damage_mod	fx_icon_ranged_damage.png	100	fx_icon_ranged_damage.png	campaign	true
troy_effect_agent_priestess_sacrifice_good_omen_morale_mod	fx_icon_morale.png	100	fx_icon_morale.png	campaign	true
troy_effect_agent_priestess_successful_action_vs_enemy_agents_lowers_enemy_favour	fx_icon_favour.png	100	fx_icon_favour.png	campaign	true
troy_effect_agent_priestess_successful_wrath_act_again	fx_icon_agent.png	100	fx_icon_agent.png	campaign	true
troy_effect_agent_priestesss_block_points_replenishment		0		campaign	true
troy_effect_agent_recovery_time_mod_agents_only	fx_icon_wound_time.png	101	fx_icon_wound_time.png	campaign	false
troy_effect_agent_recruitment_rank_agents	fx_icon_experience.png	101	fx_icon_experience.png	campaign	true
troy_effect_agent_recruitment_xp_envoy	fx_icon_envoy.png	100	fx_icon_envoy.png	campaign	true
troy_effect_agent_recruitment_xp_priest	fx_icon_priest.png	100	fx_icon_priest.png	campaign	true
troy_effect_agent_recruitment_xp_spy	fx_icon_spy.png	100	fx_icon_spy.png	campaign	true
troy_effect_agent_satyr_available	fx_icon_satyr.png	100	fx_icon_satyr.png	campaign	true
troy_effect_agent_satyr_disorder_in_the_army		0		campaign	true
troy_effect_agent_satyr_passive		0		campaign	true
troy_effect_agent_seer_available	fx_icon_seer.png	100	fx_icon_seer.png	campaign	true
troy_effect_agent_seer_divine_errand_hidden		0		campaign	true
troy_effect_agent_seer_equalize_god_favour_character		0		campaign	true
troy_effect_agent_seer_equalize_god_favour_settlement		0		campaign	true
troy_effect_agent_seer_sitting_pretty_hidden		0		campaign	true
troy_effect_agent_spy_actions_cost_mod	fx_icon_ancillary.png	100	fx_icon_ancillary.png	campaign	false
troy_effect_agent_spy_assassinate_enemy_character		0		campaign	true
troy_effect_agent_spy_assassinate_enemy_cost_mod	fx_icon_agent.png	100	fx_icon_agent.png	campaign	false
troy_effect_agent_spy_assassinate_enemy_critical_chance_mod	fx_icon_agent.png	100	fx_icon_agent.png	campaign	true
troy_effect_agent_spy_assassinate_enemy_success_chance_mod	fx_icon_agent.png	100	fx_icon_agent.png	battle	true
troy_effect_agent_spy_assassinate_gorgon_mod	fx_icon_agent.png	100	fx_icon_agent.png	campaign	true
troy_effect_agent_spy_assassinate_satyr_mod	fx_icon_agent.png	100	fx_icon_agent.png	campaign	true
troy_effect_agent_spy_assassinate_seer_mod	fx_icon_agent.png	100	fx_icon_agent.png	campaign	true
troy_effect_agent_spy_assassinate_spy_mod	fx_icon_agent.png	100	fx_icon_agent.png	campaign	true
troy_effect_agent_spy_available	fx_icon_spy.png	100	fx_icon_spy.png	campaign	true
troy_effect_agent_spy_campaign_movement_mod_agent_enemy	fx_icon_campaign_movement.png	100	fx_icon_campaign_movement.png	campaign	false
troy_effect_agent_spy_damage_enemy_building	fx_icon_siege_attack.png	99	fx_icon_siege_attack.png	campaign	true
troy_effect_agent_spy_damage_resistance_for_own_army	fx_icon_armour.png	100	fx_icon_armour.png	campaign	true
troy_effect_agent_spy_enemy_settlement_public_order	fx_icon_happiness.png	100	fx_icon_happiness.png	campaign	true
troy_effect_agent_spy_enemy_success_rate_weird_bonus_value	fx_icon_agent.png	100	fx_icon_agent.png	campaign	false
troy_effect_agent_spy_enemy_success_rate_weird_bonus_value_1	fx_icon_agent.png	100	fx_icon_agent.png	campaign	false
troy_effect_agent_spy_envoy_fail_is_nothing_ancillary	fx_icon_agent.png	100	fx_icon_agent.png	campaign	false
troy_effect_agent_spy_envoy_fail_is_nothing_hidden		0		campaign	true
troy_effect_agent_spy_envoy_priestess_campaign_movement_mod_agent_own	fx_icon_campaign_movement.png	100	fx_icon_campaign_movement.png	campaign	true
troy_effect_agent_spy_envoy_priestess_damage_enemy_garrison_mod	fx_icon_siege_attack.png	100	fx_icon_siege_attack.png	campaign	true
troy_effect_agent_spy_envoy_priestess_fail_act_again	fx_icon_agent.png	100	fx_icon_agent.png	campaign	false
troy_effect_agent_spy_envoy_priestess_immortality	fx_icon_wound_time.png	100	fx_icon_wound_time.png	campaign	true
troy_effect_agent_spy_envoy_recovery_time_mod_this_agent	fx_icon_agent.png	100	fx_icon_agent.png	campaign	false
