key	text	tooltip
effects_description_troy_trait_loyalty_diplomatic_agreement_neighbour_danaan	 %+n to {{tr:troy_main_motivation}} after striking a diplomatic agreement with a neighbouring Danaan faction	true
effects_description_troy_effect_hero_mount_horse_dummy	Grants a horse ancillary to the Hero	true
effects_description_troy_effect_food_income_per_coastal_region_hidden	HIDDEN	true
effects_description_troy_effect_building_upkeep_mod_swords	%+n% to upkeep cost of sword units	true
effects_description_troy_effect_agent_add_wood	{{tr:troy_effect_text_agent_add_wood}}	true
effects_description_troy_effect_unit_capacity_myth_giants_tier_1	Unit capacity: %+n\\nGiant Vanguard	true
effects_description_troy_effect_hero_warlord_ability_battle_cry	Ares' Thunder ability	true
effects_description_troy_effect_building_unit_upgarde_horsewoman_dummy	{{tr:troy_effect_initiation_rite_tr}} Horsewoman	true
effects_description_troy_effect_add_outcome_army_morale_all_enemy_units	{{tr:troy_effect_text_army_morale_all_enemy_units}}	true
effects_description_troy_effect_hero_defender_ability_hallowed_ground_spec_duration	"Hallowed Ground (Duration)" specialisation	true
effects_description_troy_effect_army_unrestricted_replenishment	Grants unrestricted casualty replenishment	true
effects_description_troy_effect_decrees_recruitment_light_units	%+n% to recruitment cost of all light infantry units	true
effects_description_troy_effect_campaign_growth_organize_games	{{tr:troy_effect_text_agent_spy_growth_all}}	true
effects_description_troy_effect_agent_priestess_divine_protection_poseidon	Favour of Poseidon: +2 per turn	true
effects_description_troy_effect_hero_unit_melee_attack	%+n to melee attack of all units 	true
effects_description_troy_effect_hero_self_range	%+n% to range of Hero	true
effects_description_troy_effect_army_campaign_siege_attack_holdout_time	%+n to siege holdout time (minimum 1 turn)	true
effects_description_troy_effect_army_ammunitions_archers	%+n% to ammunition of archers	true
effects_description_troy_main_hero_raiding_campaign_movement_dummy	Raiding no longer incurs movement penalties	true
effects_description_troy_effect_fm_aeneas_speak_with_dead_wounded_time	%+n turns to recovery time for Heroes when wounded 	true
effects_description_troy_effect_hero_archer_stalk_spec_unspottable	"In Hades' Shadow (Unspottable)" specialisation	true
effects_description_troy_effect_technology_xp_garrison_own	%n to experience of all garrison units per turn	true
effects_description_troy_effect_economy_mod_all_resources_flat_gold	%+n {{tr:troy_effect_gold_per_turn}}	true
effects_description_troy_effect_agent_spy_replenishment_rate_own_army_mod	%+n% to casualty replenishment rate of own army	true
effects_description_troy_effect_hero_campaign_ambush_success	{{tr:troy_effect_text_hero_campaign_ambush_success}}	true
effects_description_troy_effect_hero_self_weapon_strength_spec_land_ambush	%+n to melee damage of Hero during land and ambush battles	true
effects_description_troy_effect_technology_less_attrition_siege_sea_sabotage	%+n% to attrition due to sieges, agent actions and sea travel	true
effects_description_troy_effect_hero_self_vanguard	Grants vanguard deployment to Hero	true
effects_description_troy_effect_dlc1_effect_stance_ambush_removal_hidden	[HIDDEN]	true
effects_description_troy_trait_loyalty_end_turn_negative_happiness	 %+n to {{tr:troy_main_motivation}} if this Hero ends turn in a owned province with negative populace	true
effects_description_troy_effect_fm_aeneas_speak_with_dead_ancillaries	Gain one of four items rumoured to have been used by this Hero on his many travels	true
effects_description_troy_effect_agent_priestess_enable_priest_passive	[PH] [HIDDEN]	true
effects_description_troy_effect_add_outcome_agent_spy_campaign_movement_mod_agent_enemy	{{tr:troy_effect_text_agent_spy_campaign_movement_mod_agent_enemy}}	true
effects_description_troy_dlc1_hero_campaign_razing_spec_capture_bonus_favour_dummy	%+n% favour from war spoils	true
effects_description_troy_effect_hero_agamemnon_unit_knights_vow	%+n% to upkeep cost of Agamemnon's elite units	true
effects_description_troy_effect_buildings_food_from_vassals	%+n {{tr:troy_effect_food_per_turn}} per vassal	true
effects_description_troy_effect_hero_fighter_ability_overpower_spec_reduce_defence	"Vanquish (Melee Attack)" specialisation	true
effects_description_troy_effect_army_campaign_stance_ambush_hidden_dummy	Hidden until discovered or battle initiated	true
effects_description_troy_effect_technology_diplomacy_danaans	%+n to diplomatic relations with the Danaans (Achaeans, Aeolians, Dorians, Ionians)	true
effects_description_troy_effect_army_morale_mod_enemy_when_we_besiege_them	%+n% to morale of all enemy armies when under siege	true
effects_description_troy_effect_economy_add_deposit_stone	%+n to stone quarry capacity in this province	true
effects_description_troy_effect_gods_unit_morale_spearmen	%+n% to morale of spear units	true
effects_description_troy_effect_hero_fighter_ability_blind_rage	"Ares' Rage" ability	true
effects_description_troy_effect_hero_defender_ability_second_wind_replace	Replaces "Divine Regeneration" ability	true
effects_description_troy_effect_agent_envoy_cost_of_actions	%+n% to cost of all envoy actions	true
effects_description_troy_effect_army_campaign_attrition_snow_resistance	Attrition: %+n% casualties suffered from snow attrition	true
effects_description_troy_effect_agent_satyr_disorder_in_the_army	[PH] [hidden]	true
effects_description_troy_trait_loyalty_favour_zeus	 %+n to {{tr:troy_main_motivation}} after this Hero ends turn and {{tr:hp_title_zeus}} is Respected by your faction	true
effects_description_troy_effect_building_aeneas_elites_upkeep	%+n% to upkeep cost of Dardanian Sworn Fighters and Heavy Anatolian Spearmen	true
effects_description_troy_effect_hero_achilles_his_army_experience_dummy	%+n to experience of all units in Achilles' army	true
effects_description_troy_effect_hero_campaign_happiness	{{tr:troy_effect_text_hero_campaign_happiness}}	true
effects_description_troy_effect_hero_archer_ability_relentless_pursuit_spec_cooldown	"Flights of Artemis (Cooldown)" specialisation	true
effects_description_troy_effect_agent_priestess_persuade_agent_dummy_enabled	Enables the "Reveal Transgression" agent action	true
effects_description_troy_effect_agent_horde_spy_basic_infrastructure_cost	%+n% to construction cost for production buildings	true
effects_description_troy_effect_gods_melee_attack_mod_island_battles	"Hosted by Poseidon" ability: %+n% to melee attack of all units during island battles	true
effects_description_troy_effect_hero_wound_recovery_time_mod_heroes_only_2	"Blessed Leaders": %+n turns to recovery time of Heroes when wounded 	true
effects_description_troy_effect_hero_defender_ability_care_for_fallen_spec_heal	"Favour of Asclepius (Heal)" specialisation	true
effects_description_troy_effect_agent_add_stone	{{tr:troy_effect_text_agent_add_stone}}	true
effects_description_troy_effect_hero_unit_range_spec_range_javelins	%+n% to range of javelin units in Hero's army	true
effects_description_troy_effect_campaign_happiness_factor_other_organize_games	{{tr:public_order_effect}}: %+n	true
effects_description_troy_effect_agent_spy_success_assassinate_attritions_enemy_army	{{tr:troy_effect_text_agent_spy_success_assassinate_attritions_enemy_army}}	true
effects_description_troy_effect_hero_unit_missile_damage	%+n% to missile damage of missile units in Hero's army	true
effects_description_troy_trait_loyalty_ancillary_lose	 %+n to {{tr:troy_main_motivation}} after removing an ancillary from this Hero	true
effects_description_troy_effect_hero_self_melee_attack_spec_spearmen	%+n to melee damage of Hero against spear units	true
effects_description_troy_effect_hero_defender_ability_set_example	"Lead by Example" ability	true
effects_description_troy_effect_agent_envoy_actions_cost_mod	%+n% to cost of all agent actions	true
effects_description_troy_effect_faction_mercenary_levy_units_per_region_mod	[PH] [HIDDEN] Disable levy recruitment	true
effects_description_troy_effect_agent_recruitment_xp_spy	%+n to recruit rank of spies	true
effects_description_troy_effect_dlc1_amazon_horde_momentum_per_turn_dummy	%+n battle glory per turn	true
effects_description_troy_effect_hero_warlord_ability_armstice	"Truce" ability	true
effects_description_troy_effect_hero_self_mount_spec_charge	%+n to charge of Hero on chariot	true
effects_description_troy_effect_fm_aeneas_speak_with_dead_spearmen_defence	%+n% to melee defence of spear units	true
effects_description_troy_effect_fm_aeneas_speak_with_the_dead_agent_success	%+n% to success chance of this agent's actions	true
effects_description_troy_effect_priestess_agent_experience_gain	{{tr:troy_effect_text_priestess_agent_experience_gain}}	true
effects_description_troy_effect_gods_wood_construction_costs	%+n% to wood construction costs	true
effects_description_troy_effect_hero_warlord_ability_march_on_spec_radius	"March of Hermes (Radius)" specialisation	true
effects_description_troy_effect_add_outcome_priestess_agent_experience_gain	{{tr:troy_effect_text_priestess_agent_experience_gain}}	true
effects_description_troy_effect_faction_amazons_effect_hordebuilding_growth_core	%+n to horde growth	true
effects_description_troy_effect_agent_spy_damage_resistance_for_own_army	{{tr:troy_effect_text_agent_spy_damage_resistance_for_own_army}}	true
effects_description_troy_effect_hero_unit_speed_spec_siege	Grants entire army %+n% battle speed in siege battles	true
effects_description_troy_effect_agent_envoy_fatigue_resistance_mod_stamina	{{tr:troy_effect_text_agent_envoy_fatigue_resistance_mod_stamina}}	true
effects_description_troy_effect_hero_warlord_ability_false_prophecy_replace	Replaces "False Portent" ability	true
effects_description_troy_effect_dlc1_hero_archer_ability_deadly_focus	"Deadly Focus" ability	true
effects_description_troy_effect_hero_archer_ability_escape_spec_success	"Escape (Success)" specialisation	true
effects_description_troy_main_effect_influence_factor_faction_adjacent_province	%+n to influence over adjacent provinces	true
effects_description_troy_effect_agent_spy_assassinate_spy_mod	%+n% to chance of assassinating a foreign spy	true
effects_description_troy_trait_loyalty_kill_sac_captives	 %+n to {{tr:troy_main_motivation}} after this Hero kills captives	true
effects_description_troy_effect_agent_gorgon_petrifying_enemy_army	[PH] [hidden]	true
effects_description_troy_effect_building_unit_upgarde_huntresses_dummy	{{tr:troy_effect_initiation_rite_tr}} Huntresses	true
effects_description_troy_effect_hero_unit_recruit_rank_spec_shock	%+n to recruit rank of all new infantry units wielding two-handed weapons	true
effects_description_troy_effect_hero_defender_ability_dread_of_ares_melee_attack	"Dread of Ares (Melee Attack)" specialisation	true
effects_description_troy_effect_agent_priestess_divine_protection_zeus_up_hera_down	Favour of Zeus: +4 per turn, Favour of Hera: -2 per turn	true
effects_description_troy_effect_agent_priestess_rituals_own_god_favour_time_mod	%+n to turns of favour of the gods from rituals in own settlements	true
effects_description_troy_effect_campaign_occupation_decision_colonise_cost_zero	No colonisation cost	true
effects_description_troy_trait_loyalty_battle_enemy_hero_wound_kill	 %+n to {{tr:troy_main_motivation}} after this Hero fights a battle in which an enemy Hero was wounded or killed	true
effects_description_troy_effect_hero_fighter_ability_batter_spec_reduce_armor	"Assault & Battery (Pierce Armour)" specialisation	true
effects_description_troy_main_trait_immortal_dummy	This character is destined for greatness; when killed in battle or due to agent action, they will only be wounded.	true
effects_description_troy_effect_add_outcome_army_post_battle_loot_mod	{{tr:troy_effect_text_army_post_battle_loot_mod}}	true
effects_description_troy_effect_unit_food_upkeep_mod	%+n% food upkeep for all units	true
effects_description_troy_effect_agent_enable_additional_options	[PH] PH Test effect	true
effects_description_troy_effect_army_myth_minotaur_upkeep	%+n% to upkeep cost of minotaurs	true
effects_description_troy_effect_agent_add_bronze	{{tr:troy_effect_text_agent_add_bronze}}	true
effects_description_troy_effect_faction_public_order_difficulty_level	%+n to {{tr:public_order_effect}} from campaign difficulty level	true
effects_description_troy_effect_hero_campaign_additional_resource_food_spec_wood	%+n {{tr:troy_effect_wood_per_turn}}	true
effects_description_troy_main_effect_influence_factor_events	%+n to influence 	true
effects_description_troy_effect_faction_research_rate_mod	%+n% to administration efficiency for enacting royal decrees	true
effects_description_troy_effect_dlc1_cavalry_melee_attack	%+n% to melee attack of cavalry units	true
effects_description_troy_effect_add_outcome_agent_spy_envoy_priestess_damage_enemy_garrison_mod	{{tr:troy_effect_text_agent_spy_envoy_priestess_damage_enemy_garrison_mod}}	true
effects_description_troy_effect_army_campaign_stance_cannot_move_dummy	[[col:red]]Campaign movement: Disabled[[/col]]	true
effects_description_troy_effect_fm_aeneas_atrittion_high_seas_immunity	Immune to deep-seas attrition	true
effects_description_troy_effect_agent_actions_against_settlements_cost_mod	%+n% to cost of all agent actions against settlements	true
effects_description_troy_effect_hero_self_missile_damage	%+n% to missile damage of Hero	true
effects_description_troy_effect_building_sarpedon_elites_ap_damage	%+n to armour piercing damage of all Khopesh Fighters and Heavy Axe Warriors	true
effects_description_troy_effect_army_melee_defence_mod_all_enemy_units	{{tr:troy_effect_text_army_melee_defence_mod_all_enemy_units}}	true
effects_description_troy_effect_army_battle_speed_movement_infantry	%+n% to battle speed of all infantry units	true
effects_description_troy_effect_hero_unit_charge	%+n% to charge of all units	true
effects_description_troy_trait_loyalty_loot_sack_raze_trojans	 %+n to {{tr:troy_main_motivation}} after this Hero loots, sacks or razes a Trojan settlement 	true
effects_description_troy_effect_building_lock_altar_of_dike_dummy	Locks the Altar of Dike building chain for this settlement	true
effects_description_troy_effect_building_unit_upgarde_warband_dummy	{{tr:troy_effect_initiation_rite_tr}} Warband	true
effects_description_troy_effect_hero_fighter_ability_focused_strikes_spec_cost	"Divine Focus (Cost)" specialisation	true
effects_description_troy_effect_hero_self_enemy_trojans_spec_menelaus	%+n damage when fighting against Menelaus' faction	true
effects_description_troy_effect_agent_hinder_enemy_characters	[PH] [hidden]	true
effects_description_troy_effect_agent_envoy_arrest_spy_mod	%+n% to chance of an envoy arresting a foreign spy	true
effects_description_troy_effect_hero_perfect_vigour	This hero is tireless!	true
effects_description_troy_effect_hero_unit_missile_resistance_spec_missile_units	%+n% to missile resistance of missile units in Hero's army	true
effects_description_troy_effect_ignore_forest_penalties	Units ignore penalties from forest terrain in battle	true
effects_description_troy_effect_army_weapon_damage_mod	{{tr:troy_effect_text_army_weapon_damage_mod}}	true
effects_description_troy_effect_agent_enemy_success_chance_against_this_agent_mod	%+n% to success chance of enemy agent actions against this agent	true
effects_description_troy_trait_loyalty_battle_win	 %+n to {{tr:troy_main_motivation}} after this Hero wins a battle	true
effects_description_troy_effect_hero_fighter_ability_focused_strikes	"Divine Focus" ability	true
effects_description_troy_effect_building_recruitment_rank_corybantes	%+n to recruit rank of Corybantes	true
effects_description_troy_effect_hero_archer_ability_cheat_hades	"Cheat Hades" ability	true
effects_description_troy_effect_campaign_ai_region_resistance_mod	[HIDDEN]	true
effects_description_troy_effect_hero_campaign_casualties_post_battle_spec_ancillary_drop_chance	Increases the success chance of stealing spoils from the fallen following a victory	true
effects_description_troy_effect_hero_self_weapon_strength_spec_chokepoint_siege	%+n to melee damage of Hero during siege and chokepoint battles	true
effects_description_troy_effect_unit_capacity_myth_giants_tier_3	Unit capacity: %+n\\nGiant Champions	true
effects_description_troy_effect_hero_warlord_ability_marked_for_death_spec_range	"Zeus' Wrath (Cooldown)" specialisation	true
effects_description_troy_effect_gods_cost_mod_civil_buildings	%+n%  to construction cost of all civil buildings (economy, special, main and administration buildings)	true
effects_description_troy_effect_hero_archer_ability_apollos_rain_replace	Replaces "Apollo's Rain" ability	true
effects_description_troy_effect_building_upkeep_mod_cavalry	%+n% to upkeep cost of cavalry units	true
effects_description_troy_effect_agent_spy_envoy_priestess_damage_enemy_garrison_mod	{{tr:troy_effect_text_agent_spy_envoy_priestess_damage_enemy_garrison_mod}}	true
effects_description_troy_effect_add_outcome_agent_spy_success_assassinate_attritions_enemy_army	{{tr:troy_effect_text_agent_spy_success_assassinate_attritions_enemy_army}}	true
effects_description_troy_effect_temples_apollo_shourd_reveal_mod	 %+n% to campaign map line of sight around temples of Apollo	true
effects_description_troy_effect_agent_spy_assassinate_seer_mod	%+n% to chance of assassinating a foreign seer	true
effects_description_troy_effect_army_effect_morale_ranged_units	%+n% to morale of own missile units	true
effects_description_troy_effect_hero_self_melee_attack	%+n to melee attack of Hero	true
effects_description_troy_effect_agent_priestess_make_them_retreat_success_chance_mod	%+n% to success chance of "Oration of Dread" agent action	true
effects_description_troy_effect_hero_unit_range	%+n% to range of missile units in Hero's army	true
